run,series,type,nfiles_on_nsdf_cli,available_on_nsdf_cli
Run73,07201018_1603,Am/lead,0,False
Run73,07201018_1754,Am/lead,0,False
Run73,07201018_2012,Am/lead,0,False
Run73,07201019_0932,Am/lead,0,False
Run73,07201019_1107,Am/lead,0,False
Run73,07201021_1403,Am/lead,0,False
Run73,07201022_1722,Am/lead,0,False
Run73,07201022_1924,Am/lead,0,False
Run73,07201023_0633,Am/lead,0,False
Run73,07201023_0921,Am/lead,0,False
Run73,07201023_1106,Am/lead,0,False
Run73,07201023_1625,Am/lead,0,False
Run73,07201023_1830,Am/lead,0,False
Run73,07201023_2103,Am/lead,0,False
Run73,07201024_1012,Am/lead,0,False
Run73,07201024_1238,Am/lead,0,False
Run73,07201024_1749,Am/lead,0,False
Run73,07201024_2018,Am/lead,0,False
Run73,07201025_0856,Am/lead,0,False
Run73,07201025_2006,Am/lead,0,False
Run73,07201026_1207,Am/lead,0,False
Run73,07201027_1725,Am/lead,0,False
Run73,07201027_2114,Am/lead,0,False
Run73,07201028_2326,Am/lead,0,False
Run73,07201029_0925,Am/lead,0,False
Run74,07210818_1634,Am/lead,0,False
Run74,07210819_0913,Am/lead,0,False
Run74,07210819_1150,Am/lead,0,False
Run74,07210819_1430,Am/lead,0,False
Run74,07210819_1640,Am/lead,0,False
Run74,07210820_0741,Am/lead,0,False
Run74,07210820_1037,Am/lead,0,False
Run74,07210820_1215,Am/lead,0,False
Run74,07210820_1324,Am/lead,0,False
Run74,07210820_1633,Am/lead,0,False
Run74,07210821_1116,Am/lead,0,False
Run74,07210823_1408,Am/lead,0,False
Run74,07210823_1629,Am/lead,0,False
Run74,07210824_0858,Am/lead,0,False
Run74,07210824_1350,AM/lead,0,False
Run74,07210824_1558,Am/lead,0,False
Run74,07210825_1106,Am/lead,0,False
Run74,07210825_1304,Am/lead,0,False
Run74,07210825_1456,Am/lead,0,False
Run74,07210826_1004,Am/lead,0,False
Run74,07210826_1335,Am/lead,0,False
Run74,07210826_1622,Am/lead,0,False
Run74,07210827_0849,Am/lead,0,False
Run74,07210830_1447,Am/lead,0,False
Run74,07210831_0941,Am/lead,0,False
Run74,07210831_1553,Am/lead,0,False
Run74,07210901_1600,Am/lead,0,False
Run74,07210902_1021,Am/lead,0,False
Run74,07210902_1351,Am/lead,0,False
Run74,07210902_1647,Am/lead,0,False
Run74,07210903_1345,Am/lead,0,False
Run74,07210903_1627,Am/lead,0,False
Run74,07210904_1049,Am/lead,0,False
Run74,07210905_1309,Am/lead,0,False
Run74,07210906_1240,Am/lead,0,False
Run74,07210907_0840,Am/lead,0,False
Run74,07210907_1011,Am/lead,0,False
Run74,07210907_1151,Am/lead,0,False
Run74,07210908_2110,Am/lead,0,False
Run74,07210909_1006,Am/lead,0,False
Run74,07210910_0909,Am/lead,0,False
Run74,07210910_1025,Am/lead,0,False
Run74,07210910_1201,Am/lead,0,False
Run74,07210910_1331,Am/lead,0,False
Run74,07210910_1557,Am/lead,0,False
Run74,07210911_1515,Am/lead,0,False
Run74,07210912_1422,Am/lead,0,False
Run74,07210913_1011,Am/lead,0,False
Run74,07210913_1135,Am/lead,0,False
Run74,07210913_1335,Am/lead,0,False
Run74,07210913_1608,Am/lead,0,False
Run74,07210914_1026,Am/lead,0,False
Run74,07210914_1545,Am/lead,0,False
Run74,07210915_1526,Am/lead,0,False
Run74,07210916_1202,Am/lead,0,False
Run74,07210917_1049,Am/lead,0,False
Run74,07210917_1213,Am/lead,0,False
Run74,07210918_1123,Am/lead,0,False
Run74,07210919_1444,Am/lead,0,False
Run74,07210919_1447,Am/lead,0,False
Run74,07210919_1450,Am/lead,0,False
Run74,07210919_1454,Am/lead,0,False
Run74,07210919_1457,Am/lead,0,False
Run74,07210919_1500,Am/lead,0,False
Run74,07210920_1110,Am/lead,0,False
Run74,07210920_1252,Am/lead,0,False
Run74,07210920_1255,Am/lead,0,False
Run74,07210920_1258,Am/lead,0,False
Run74,07210920_1301,Am/lead,0,False
Run74,07210920_1305,Am/lead,0,False
Run74,07210920_1311,Am/lead,0,False
Run74,07210920_1348,Am/lead,0,False
Run74,07210920_1349,Am/lead,0,False
Run74,07210920_1439,Am/lead,0,False
Run74,07210920_1440,Am/lead,0,False
Run74,07210920_1511,Am/lead,0,False
Run74,07210920_1643,Am/lead,0,False
Run74,07210920_1644,Am/lead,0,False
Run74,07210921_0851,Am/lead,0,False
Run74,07210921_1501,Am/lead,0,False
Run74,07210921_2153,Am/lead,0,False
Run74,07210922_1454,Am/lead,0,False
Run74,07210922_1634,Am/lead,0,False
Run74,07210922_1901,Am/lead,0,False
