series,type,source_shield,HV,trigger,duration_min,on_nsdf,n_dumps,first_dump,last_dump,missing_dumps,size_gib,live_check,hidden_by_filter,local_dumps,local_empty_stubs
07220427_1630,Side2,Am / Pb&poly E&W only,-221.1,DCRC3pD 10,58,False,0,,,,,absent (F0001-F0005),True,0,0
07220428_1659,Side2,Am / Pb&poly E&W only,-180.6,DCRC3pD 10,54,False,0,,,,,absent (F0001-F0005),True,0,0
07220503_0851,Side2,Am / Pb&poly E&W only,-238.3,DCRC3pD 10,57,False,0,,,,,absent (F0001-F0005),True,0,0
07220509_1432,Side2,Am / Pb&poly E&W only,0,DCRC3pD 10,63,False,0,,,,,absent (F0001-F0005),True,0,0
07220510_0917,Side2,Am / Pb&poly E&W only,0,DCRC3pD 10,62,False,0,,,,,absent (F0001-F0005),True,0,0
07220510_1115,Side2,Am / Pb&poly E&W only,-195.6,DCRC3pD 10,67,False,0,,,,,absent (F0001-F0005),True,0,0
07220513_0853,Side2,Am / Pb&poly E&W only,0,DCRC3pD 10,50,False,0,,,,,absent (F0001-F0005),True,0,0
07220513_0952,Side2,Am / Pb&poly E&W only,-3.8,DCRC3pD 10,46,False,0,,,,,absent (F0001-F0005),True,0,0
07220531_0810,Side2,Am / Pb&poly except N,0,DCRC3pD 10,66,False,0,,,,,absent (F0001-F0005),True,0,0
07220531_1214,Side2,Na-22 / Pb&poly except N,0,DCRC3pD 10,78,False,0,,,,,absent (F0001-F0005),True,0,0
07220601_1310,Side2,Na-22 / Pb&poly except N,0,DCRC3pD 10,76,False,0,,,,,absent (F0001-F0005),True,0,0
07220608_1539,Side2,"PuBe / Pb&poly, lead stack",0,DCRC3pD 10,24,False,0,,,,,absent (F0001-F0005),True,0,0
07220608_1606,Side2,"Am / Pb&poly, lead stack",0,DCRC3pD 10,25,False,0,,,,,absent (F0001-F0005),True,0,0
07220609_1114,Side2,"PuBe / Pb&poly, lead stack",0,DCRC3pD 10,21,False,0,,,,,absent (F0001-F0005),True,0,0
07220615_1205,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC3pD 10,62,False,0,,,,,absent (F0001-F0005),True,0,0
07220617_1209,Side2,"Am / Pb&poly, lead stack, borax",0,DCRC3pD 10,54,False,0,,,,,absent (F0001-F0005),True,0,0
07220617_1305,Side2,"Am / Pb&poly, lead stack, borax",0,NaI ,81,False,0,,,,,absent (F0001-F0005),False,0,0
07220701_1439,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC3pD 10,65,False,0,,,,,absent (F0001-F0005),True,0,0
07220702_0911,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC3pD 10,65,False,0,,,,,absent (F0001-F0005),True,0,0
07220702_1055,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI,171,True,12,1,12,0,0.1,listed dumps found; none beyond,False,0,0
07220702_1400,Side2,"PuBe / Pb&poly, lead stack, borax",,,,False,0,,,,,absent (F0001-F0005),False,0,0
07220703_1904,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC3pD 10,45,False,0,,,,,absent (F0001-F0005),True,0,0
07220703_2005,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,6,False,0,,,,,absent (F0001-F0005),True,0,0
07220703_2012,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI,90,True,90,1,90,0,0.49,listed dumps found; none beyond,False,0,0
07220703_2143,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,7,False,0,,,,,absent (F0001-F0005),True,0,0
07220703_2151,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI,708,True,708,1,708,0,3.79,listed dumps found; none beyond,False,0,0
07220704_0945,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,12,False,0,,,,,absent (F0001-F0005),True,0,0
07220704_1000,Side2,"PuBe / Pb&poly, lead stack, borax",varies,DCRC3pD 10,30,False,0,,,,,absent (F0001-F0005),True,0,0
07220704_1140,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC3pD 10,59,False,0,,,,,absent (F0001-F0005),True,0,0
07220704_1437,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,6,False,0,,,,,absent (F0001-F0005),True,0,0
07220704_1444,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI,91,True,92,1,92,0,0.53,listed dumps found; none beyond,False,0,0
07220704_1617,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,11,False,0,,,,,absent (F0001-F0005),True,0,0
07220704_1630,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI,271,True,271,1,271,0,1.53,listed dumps found; none beyond,False,0,0
07220704_2102,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,8,False,0,,,,,absent (F0001-F0005),True,0,0
07220704_2111,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI,552,True,201,1,201,0,1.12,listed dumps found; none beyond,False,0,0
07220705_0629,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,10,False,0,,,,,absent (F0001-F0005),True,0,0
07220705_0646,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI,268,True,268,1,268,0,1.52,listed dumps found; none beyond,False,0,0
07220706_0836,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC3pD 10,120,False,0,,,,,absent (F0001-F0005),True,0,0
07220706_1112,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI,100,True,100,1,100,0,0.74,listed dumps found; none beyond,False,0,0
07220706_1254,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,9,False,0,,,,,absent (F0001-F0005),True,0,0
07220706_1303,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI,210,True,109,1,210,101,3.91,listed dumps found; none beyond,False,0,0
07220706_1652,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,7,False,0,,,,,absent (F0001-F0005),True,0,0
07220706_1659,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI,218,True,218,1,218,0,3.23,listed dumps found; none beyond,False,0,0
07220706_2041,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,6,False,0,,,,,absent (F0001-F0005),True,0,0
07220706_2048,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI ,575,True,575,1,575,0,8.5,listed dumps found; none beyond,False,0,0
07220707_0632,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,7,False,0,,,,,absent (F0001-F0005),True,0,0
07220707_0639,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI ,,True,3,1,3,0,0.03,listed dumps found; none beyond,False,0,0
07220707_0644,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI ,289,True,289,1,289,0,4.23,listed dumps found; none beyond,False,0,0
07220707_1643,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC3pD 10,26,False,0,,,,,absent (F0001-F0005),True,0,0
07220707_1748,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,9,False,0,,,,,absent (F0001-F0005),True,0,0
07220707_1758,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI ,227,True,227,1,227,0,3.4,listed dumps found; none beyond,False,0,0
07220707_2149,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,14,False,0,,,,,absent (F0001-F0005),True,0,0
07220707_2205,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI ,611,True,611,1,611,0,8.97,listed dumps found; none beyond,False,0,0
07220708_0826,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,7,False,0,,,,,absent (F0001-F0005),True,0,0
07220708_0833,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI ,160,True,160,1,160,0,2.33,listed dumps found; none beyond,False,0,0
07220708_1518,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC3pD 10,43,False,0,,,,,absent (F0001-F0005),True,0,0
07220708_1618,Side2,"PuBe / Pb&poly, lead stack, borax",-197.4,DCRC3pD 10,14,False,0,,,,,absent (F0001-F0005),True,0,0
07220708_1632,Side2,"PuBe / Pb&poly, lead stack, borax",-197.4,NaI ,332,True,332,1,332,0,2.53,listed dumps found; none beyond,False,0,0
07220708_2207,Side2,"PuBe / Pb&poly, lead stack, borax",-197.4,DCRC3pD 10,9,False,0,,,,,absent (F0001-F0005),True,0,0
07220708_2217,Side2,"PuBe / Pb&poly, lead stack, borax",-197.4,NaI ,666,True,127,1,127,0,0.98,listed dumps found; none beyond,False,0,0
07220709_0926,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,8,False,0,,,,,absent (F0001-F0005),True,0,0
07220709_0935,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI ,273,True,168,1,168,0,1.29,listed dumps found; none beyond,False,0,0
07220709_1415,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,9,False,0,,,,,absent (F0001-F0005),True,0,0
07220709_1717,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC3pD 10,49,False,0,,,,,absent (F0001-F0005),True,0,0
07220709_1807,Side2,"PuBe / Pb&poly, lead stack, borax",0,NaI ,215,True,204,1,204,0,1.5,listed dumps found; none beyond,False,0,0
07220709_2144,Side2,"PuBe / Pb&poly, lead stack, borax",0,NaI ,2052,True,2052,1,2052,0,15.03,listed dumps found; none beyond,False,0,0
07220711_0828,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC3pD 10,86,False,0,,,,,absent (F0001-F0005),True,0,0
07220711_1649,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,DCRC3pD 10,19,False,0,,,,,absent (F0001-F0005),True,0,0
07220711_1709,Side2,"PuBe / Pb&poly, lead stack, borax",-197.3,NaI ,1022,True,1022,1,1022,0,7.69,listed dumps found; none beyond,False,0,0
07220712_1016,Side2,"PuBe / Pb&poly, lead stack, borax",,DCRC3pD 10,28,False,0,,,,,absent (F0001-F0005),True,0,0
07220712_1324,Side2,"PuBe / Pb&poly, lead stack, borax",,,,True,3,1,3,0,0.13,listed dumps found; none beyond,False,0,0
07220712_1336,Side2,"PuBe / Pb&poly, lead stack, borax",,,207,True,207,1,207,0,17.27,listed dumps found; none beyond,False,0,0
07220812_1805,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC3pD 15,81,False,0,,,,,absent (F0001-F0005),True,0,0
07220812_1958,Side2,"PuBe / Pb&poly, lead stack, borax",-5.8,DCRC3pD 15,105,False,0,,,,,absent (F0001-F0005),True,0,0
07220816_0838,Side2,"PuBe / Pb&poly, lead stack, borax",-20,DCRC3pB 10,76,False,0,,,,,absent (F0001-F0005),True,0,0
07220816_1730,Side2,"PuBe / Pb&poly, lead stack, borax",-64,DCRC3pB 10,,False,0,,,,,absent (F0001-F0005),True,0,0
07220822_1828,Side2,"PuBe / Pb&poly, lead stack, borax",0,DCRC3pB 10,50,False,0,,,,,absent (F0001-F0005),True,0,0
07220826_1219,Side2,"PuBe / Pb&poly, lead stack, borax",-4,DCRC1pB 10,81,True,81,1,81,0,4.33,listed dumps found; none beyond,False,0,0
07220826_1536,Side2,"PuBe / Pb&poly, lead stack, borax",-20.7,DCRC1pB 10,84,True,84,1,84,0,4.42,listed dumps found; none beyond,False,0,0
07220826_2007,Side2,"PuBe / Pb&poly, lead stack, borax",-65,DCRC1pB 10,79,True,79,1,79,0,4.21,listed dumps found; none beyond,False,0,0
07220827_1153,Side2,"PuBe / Pb&poly, lead stack, borax",-84.3,DCRC1pB 10,90,True,90,1,90,0,4.17,listed dumps found; none beyond,False,0,0
07220830_1247,Side2,"PuBe / Pb&poly, lead stack, borax",,,,True,6,1,6,0,0.0,listed dumps found; none beyond,False,0,0
07220830_1724,Side2,"PuBe / Pb&poly, lead stack, borax",-85.3,DCRC1pB 10,60,True,60,1,60,0,2.52,listed dumps found; none beyond,False,0,0
07220830_1829,Side2,"PuBe / Pb&poly, lead stack, borax",-85.2,NaI,113,True,113,1,113,0,2.13,listed dumps found; none beyond,False,0,0
